time_sec,x_m,y_m,z_m
0.033333,0.060529,10.446947,0.214110
0.050000,-0.050663,10.282431,0.269716
0.066667,-0.131268,10.094257,0.320518
0.083333,-0.194022,9.890528,0.368504
0.100000,-0.261798,9.702113,0.413122
0.116667,-0.324126,9.503488,0.461481
0.133333,-0.396432,9.309809,0.502105
0.150000,-0.462144,9.120299,0.536760
0.166667,-0.523882,8.927018,0.573518
0.183333,-0.581404,8.731695,0.604986
0.200000,-0.643533,8.534365,0.634053
0.216667,-0.704269,8.343634,0.662266
0.233333,-0.769501,8.152723,0.684765
0.250000,-0.834692,7.964796,0.707445
0.266667,-0.891962,7.776932,0.724629
0.283333,-0.953266,7.588465,0.744291
0.300000,-1.009285,7.403603,0.761881
0.316667,-1.072920,7.213087,0.774590
0.333333,-1.128314,7.027121,0.783368
0.350000,-1.188899,6.842182,0.788997
0.366667,-1.244771,6.651615,0.791354
0.383333,-1.301323,6.467552,0.792039
0.400000,-1.363383,6.281363,0.790644
0.416667,-1.420261,6.102189,0.793442
0.433333,-1.473662,5.922327,0.788650
0.450000,-1.530502,5.743509,0.782984
0.466667,-1.587248,5.565146,0.771666
0.483333,-1.642071,5.386674,0.758551
0.500000,-1.694036,5.204667,0.746566
0.516667,-1.749381,5.018093,0.733093
0.533333,-1.804330,4.844756,0.711514
0.550000,-1.865401,4.668022,0.687592
0.566667,-1.918997,4.485749,0.661781
0.583333,-1.975343,4.313082,0.630619
0.600000,-2.035318,4.135281,0.603093
0.616667,-2.088149,3.956290,0.569641
0.633333,-2.139068,3.766511,0.537202
0.650000,-2.193620,3.594720,0.499268
0.666667,-2.247654,3.417426,0.455018
0.683333,-2.300638,3.244013,0.413848
0.700000,-2.357245,3.077331,0.377280
0.716667,-2.408457,2.896009,0.330850
0.733333,-2.462879,2.725650,0.281971
0.750000,-2.518815,2.551570,0.231330
0.766667,-2.572316,2.380181,0.175270
0.783333,-2.628225,2.206464,0.120645
0.800000,-2.682461,2.027576,0.059209
0.816667,-2.738710,1.851067,-0.001561
0.833333,-2.792468,1.675470,-0.067074
0.850000,-2.825125,1.536942,-0.065027
0.866667,-2.864755,1.434914,-0.025891
0.883333,-2.897655,1.320203,0.014382
0.900000,-2.932434,1.202531,0.050730
0.916667,-2.969348,1.081069,0.077222
0.933333,-3.006030,0.977773,0.116893
0.950000,-3.042650,0.866549,0.140870
0.966667,-3.075542,0.752608,0.165281
1.016667,-3.167974,0.383888,0.218095
1.033333,-3.203202,0.261805,0.233042
1.050000,-3.238923,0.147459,0.244852
1.066667,-3.267498,0.037487,0.249931
1.083333,-3.302969,-0.052256,0.254327
1.100000,-3.331227,-0.189385,0.248726
1.116667,-3.370729,-0.307059,0.251388
1.133333,-3.400043,-0.400863,0.250791
1.150000,-3.425780,-0.528626,0.238375
1.166667,-3.452519,-0.633345,0.232615
1.183333,-3.490540,-0.737513,0.219569
1.200000,-3.507178,-0.816858,0.203327
1.366667,-5.862601,7.617509,-0.288583
1.383333,-5.884058,7.616771,-0.289045
1.400000,-5.900446,7.615333,-0.291133
1.416667,-3.871922,-2.086679,-0.110852
1.433333,-5.936621,7.624258,-0.291275
1.550000,-3.991736,-2.514659,-0.123900
1.783333,-4.136823,-3.088143,-0.157136
1.800000,-4.141399,-3.148268,-0.157684
1.816667,-4.149187,-3.188021,-0.162396
1.833333,-4.164363,-3.245901,-0.170193
1.950000,-4.173971,-3.115131,-0.094881
