time,x,y,z
0.00000,11.00000,0.00000,0.14500
0.00625,10.85063,0.00000,0.14873
0.01250,10.70125,0.00000,0.15247
0.01875,10.55188,0.00000,0.15620
0.02500,10.40250,0.00000,0.15994
0.03125,10.25313,0.00000,0.16367
0.03750,10.10375,0.00000,0.16741
0.04375,9.95438,0.00000,0.17114
0.05000,9.80500,0.00000,0.17488
0.05625,9.65563,0.00000,0.17861
0.06250,9.50625,0.00000,0.18234
0.06875,9.35688,0.00000,0.18608
0.07500,9.20750,0.00000,0.18981
0.08125,9.05813,0.00000,0.19355
0.08750,8.90875,0.00000,0.19728
0.09375,8.75938,0.00000,0.20102
0.10000,8.61000,0.00000,0.20475
0.10625,8.46063,0.00000,0.20848
0.11250,8.31125,0.00000,0.21222
0.11875,8.16188,0.00000,0.21595
0.12500,8.01250,0.00000,0.21969
0.13125,7.86313,0.00000,0.22342
0.13750,7.71375,0.00000,0.22716
0.14375,7.56438,0.00000,0.23089
0.15000,7.41500,0.00000,0.23463
0.15625,7.26563,0.00000,0.23836
0.16250,7.11625,0.00000,0.24209
0.16875,6.96688,0.00000,0.24583
0.17500,6.81750,0.00000,0.24956
0.18125,6.66813,0.00000,0.25330
0.18750,6.51875,0.00000,0.25703
0.19375,6.36938,0.00000,0.26077
0.20000,6.22000,0.00000,0.26450
0.20625,6.07063,0.00000,0.26823
0.21250,5.92125,0.00000,0.27197
0.21875,5.77188,0.00000,0.27570
0.22500,5.62250,0.00000,0.27944
0.23125,5.47313,0.00000,0.28317
0.23750,5.32375,0.00000,0.28691
0.24375,5.17438,0.00000,0.29064
0.25000,5.02500,0.00000,0.29438
0.25625,4.87563,0.00000,0.29811
0.26250,4.72625,0.00000,0.30184
0.26875,4.57688,0.00000,0.30558
0.27500,4.42750,0.00000,0.30931
0.28125,4.27813,0.00000,0.31305
0.28750,4.12875,0.00000,0.31678
0.29375,3.97938,0.00000,0.32052
0.30000,3.83000,0.00000,0.32425
0.30625,3.68063,0.00000,0.32798
0.31250,3.53125,0.00000,0.33172
0.31875,3.38188,0.00000,0.33545
0.32500,3.23250,0.00000,0.33919
0.33125,3.08313,0.00000,0.34292
0.33750,2.93375,0.00000,0.34666
0.34375,2.78438,0.00000,0.35039
0.35000,2.63500,0.00000,0.35413
0.35625,2.48563,0.00000,0.35786
0.36250,2.33625,0.00000,0.36159
0.36875,2.18688,0.00000,0.36533
0.37500,2.03750,0.00000,0.36906
0.38125,1.88813,0.00000,0.37280
0.38750,1.73875,0.00000,0.37653
0.39375,1.58938,0.00000,0.38027
0.40000,1.44000,0.00000,0.38400
0.40625,1.29063,0.00000,0.38773
0.41250,1.14125,0.00000,0.39147
0.41875,0.99188,0.00000,0.39520
0.42500,0.84250,0.00000,0.39894
0.43125,0.69313,0.00000,0.40267
0.43750,0.54375,0.00000,0.40641
0.44375,0.39438,0.00000,0.41014
0.45000,0.24500,0.00000,0.41388
0.45625,0.09563,0.00000,0.41761
0.46250,-0.05375,0.00000,0.41774
0.46875,-0.20313,0.00000,0.41145
0.47500,-0.35250,0.00000,0.40516
0.48125,-0.50188,0.00000,0.39887
0.48750,-0.65125,0.00000,0.39258
0.49375,-0.80063,0.00000,0.38629
0.50000,-0.95000,0.00000,0.38000
