time,x,y,z
0.00000,11.00000,0.00000,0.14500
0.00725,10.85063,0.00253,0.14827
0.01450,10.70125,0.00736,0.15153
0.02175,10.55188,0.01444,0.15479
0.02900,10.40250,0.02368,0.15804
0.03625,10.25313,0.03503,0.16128
0.04350,10.10375,0.04842,0.16450
0.05075,9.95438,0.06379,0.16770
0.05800,9.80500,0.08107,0.17088
0.06525,9.65563,0.10019,0.17404
0.07250,9.50625,0.12110,0.17717
0.07975,9.35688,0.14372,0.18027
0.08700,9.20750,0.16799,0.18333
0.09425,9.05813,0.19385,0.18637
0.10150,8.90875,0.22123,0.18936
0.10875,8.75938,0.25006,0.19231
0.11600,8.61000,0.28028,0.19522
0.12325,8.46063,0.31183,0.19808
0.13050,8.31125,0.34464,0.20089
0.13775,8.16188,0.37864,0.20366
0.14500,8.01250,0.41377,0.20637
0.15225,7.86313,0.44996,0.20903
0.15950,7.71375,0.48715,0.21162
0.16675,7.56438,0.52527,0.21416
0.17400,7.41500,0.56426,0.21664
0.18125,7.26563,0.60406,0.21906
0.18850,7.11625,0.64459,0.22142
0.19575,6.96688,0.68580,0.22371
0.20300,6.81750,0.72761,0.22593
0.21025,6.66813,0.76996,0.22808
0.21750,6.51875,0.81279,0.23017
0.22475,6.36938,0.85603,0.23218
0.23200,6.22000,0.89962,0.23413
0.23925,6.07063,0.94349,0.23600
0.24650,5.92125,0.98758,0.23781
0.25375,5.77188,1.03181,0.23954
0.26100,5.62250,1.07613,0.24119
0.26825,5.47313,1.12048,0.24278
0.27550,5.32375,1.16477,0.24429
0.28275,5.17438,1.20896,0.24573
0.29000,5.02500,1.25297,0.24710
0.29725,4.87563,1.29674,0.24839
0.30450,4.72625,1.34021,0.24962
0.31175,4.57688,1.38330,0.25077
0.31900,4.42750,1.42596,0.25185
0.32625,4.27813,1.46812,0.25286
0.33350,4.12875,1.50971,0.25381
0.34075,3.97938,1.55066,0.25468
0.34800,3.83000,1.59093,0.25550
0.35525,3.68063,1.63042,0.25624
0.36250,3.53125,1.66910,0.25692
0.36975,3.38188,1.70687,0.25755
0.37700,3.23250,1.74370,0.25811
0.38425,3.08313,1.77949,0.25861
0.39150,2.93375,1.81420,0.25906
0.39875,2.78438,1.84776,0.25945
0.40600,2.63500,1.88010,0.25979
0.41325,2.48563,1.91115,0.26008
0.42050,2.33625,1.94086,0.26033
0.42775,2.18688,1.96915,0.26053
0.43500,2.03750,1.99596,0.26068
0.44225,1.88813,2.02122,0.26080
0.44950,1.73875,2.04488,0.26088
0.45675,1.58938,2.06686,0.26092
0.46400,1.44000,2.08710,0.26094
0.47125,1.29063,2.10554,0.26092
0.47850,1.14125,2.12210,0.26088
0.48575,0.99188,2.13673,0.26081
0.49300,0.84250,2.14936,0.26072
0.50025,0.69313,2.15992,0.26062
0.50750,0.54375,2.16835,0.26050
0.51475,0.39438,2.17458,0.26037
0.52200,0.24500,2.17856,0.26024
0.52925,0.09563,2.18020,0.26009
0.53650,-0.05375,2.18000,0.25717
0.54375,-0.20313,2.18000,0.24931
0.55100,-0.35250,2.18000,0.24145
0.55825,-0.50188,2.18000,0.23359
0.56550,-0.65125,2.18000,0.22572
0.57275,-0.80063,2.18000,0.21786
0.58000,-0.95000,2.18000,0.21000
