time,x,y,z
0.00000,11.00000,0.00000,0.14500
0.01300,10.85063,0.00000,0.18973
0.02600,10.70125,0.00000,0.23443
0.03900,10.55188,0.00000,0.27907
0.05200,10.40250,0.00000,0.32360
0.06500,10.25313,0.00000,0.36801
0.07800,10.10375,0.00000,0.41225
0.09100,9.95438,0.00000,0.45631
0.10400,9.80500,0.00000,0.50013
0.11700,9.65563,0.00000,0.54370
0.13000,9.50625,0.00000,0.58699
0.14300,9.35688,0.00000,0.62996
0.15600,9.20750,0.00000,0.67258
0.16900,9.05813,0.00000,0.71483
0.18200,8.90875,0.00000,0.75667
0.19500,8.75938,0.00000,0.79809
0.20800,8.61000,0.00000,0.83905
0.22100,8.46063,0.00000,0.87953
0.23400,8.31125,0.00000,0.91950
0.24700,8.16188,0.00000,0.95894
0.26000,8.01250,0.00000,0.99782
0.27300,7.86313,0.00000,1.03613
0.28600,7.71375,0.00000,1.07385
0.29900,7.56438,0.00000,1.11094
0.31200,7.41500,0.00000,1.14740
0.32500,7.26563,0.00000,1.18321
0.33800,7.11625,0.00000,1.21835
0.35100,6.96688,0.00000,1.25281
0.36400,6.81750,0.00000,1.28657
0.37700,6.66813,0.00000,1.31961
0.39000,6.51875,0.00000,1.35194
0.40300,6.36938,0.00000,1.38353
0.41600,6.22000,0.00000,1.41438
0.42900,6.07063,0.00000,1.44448
0.44200,5.92125,0.00000,1.47383
0.45500,5.77188,0.00000,1.50242
0.46800,5.62250,0.00000,1.53025
0.48100,5.47313,0.00000,1.55731
0.49400,5.32375,0.00000,1.58361
0.50700,5.17438,0.00000,1.60915
0.52000,5.02500,0.00000,1.63393
0.53300,4.87563,0.00000,1.65794
0.54600,4.72625,0.00000,1.68121
0.55900,4.57688,0.00000,1.70373
0.57200,4.42750,0.00000,1.72551
0.58500,4.27813,0.00000,1.74657
0.59800,4.12875,0.00000,1.76690
0.61100,3.97938,0.00000,1.78653
0.62400,3.83000,0.00000,1.80547
0.63700,3.68063,0.00000,1.82373
0.65000,3.53125,0.00000,1.84132
0.66300,3.38188,0.00000,1.85827
0.67600,3.23250,0.00000,1.87458
0.68900,3.08313,0.00000,1.89029
0.70200,2.93375,0.00000,1.90541
0.71500,2.78438,0.00000,1.91996
0.72800,2.63500,0.00000,1.93397
0.74100,2.48563,0.00000,1.94745
0.75400,2.33625,0.00000,1.96044
0.76700,2.18688,0.00000,1.97295
0.78000,2.03750,0.00000,1.98502
0.79300,1.88813,0.00000,1.99666
0.80600,1.73875,0.00000,2.00791
0.81900,1.58938,0.00000,2.01880
0.83200,1.44000,0.00000,2.02936
0.84500,1.29063,0.00000,2.03960
0.85800,1.14125,0.00000,2.04958
0.87100,0.99188,0.00000,2.05931
0.88400,0.84250,0.00000,2.06882
0.89700,0.69313,0.00000,2.07815
0.91000,0.54375,0.00000,2.08733
0.92300,0.39438,0.00000,2.09640
0.93600,0.24500,0.00000,2.10538
0.94900,0.09563,0.00000,2.11430
0.96200,-0.05375,0.00000,2.11434
0.97500,-0.20313,0.00000,2.09862
0.98800,-0.35250,0.00000,2.08289
1.00100,-0.50188,0.00000,2.06717
1.01400,-0.65125,0.00000,2.05145
1.02700,-0.80063,0.00000,2.03572
1.04000,-0.95000,0.00000,2.02000
