time,x,y,z
0.00000,11.00000,0.00000,0.14500
0.01025,10.85063,0.01288,0.16632
0.02050,10.70125,0.02303,0.18763
0.03075,10.55188,0.03053,0.20892
0.04100,10.40250,0.03544,0.23016
0.05125,10.25313,0.03782,0.25134
0.06150,10.10375,0.03775,0.27246
0.07175,9.95438,0.03529,0.29349
0.08200,9.80500,0.03050,0.31443
0.09225,9.65563,0.02346,0.33525
0.10250,9.50625,0.01422,0.35596
0.11275,9.35688,0.00286,0.37653
0.12300,9.20750,-0.01056,0.39695
0.13325,9.05813,-0.02598,0.41721
0.14350,8.90875,-0.04332,0.43729
0.15375,8.75938,-0.06252,0.45720
0.16400,8.61000,-0.08352,0.47690
0.17425,8.46063,-0.10624,0.49640
0.18450,8.31125,-0.13063,0.51569
0.19475,8.16188,-0.15661,0.53474
0.20500,8.01250,-0.18412,0.55356
0.21525,7.86313,-0.21310,0.57213
0.22550,7.71375,-0.24347,0.59045
0.23575,7.56438,-0.27517,0.60850
0.24600,7.41500,-0.30813,0.62628
0.25625,7.26563,-0.34230,0.64378
0.26650,7.11625,-0.37759,0.66099
0.27675,6.96688,-0.41395,0.67791
0.28700,6.81750,-0.45131,0.69454
0.29725,6.66813,-0.48960,0.71085
0.30750,6.51875,-0.52876,0.72686
0.31775,6.36938,-0.56872,0.74255
0.32800,6.22000,-0.60942,0.75793
0.33825,6.07063,-0.65078,0.77298
0.34850,5.92125,-0.69274,0.78771
0.35875,5.77188,-0.73524,0.80212
0.36900,5.62250,-0.77821,0.81620
0.37925,5.47313,-0.82158,0.82995
0.38950,5.32375,-0.86529,0.84337
0.39975,5.17438,-0.90926,0.85647
0.41000,5.02500,-0.95345,0.86924
0.42025,4.87563,-0.99777,0.88169
0.43050,4.72625,-1.04216,0.89382
0.44075,4.57688,-1.08655,0.90562
0.45100,4.42750,-1.13089,0.91711
0.46125,4.27813,-1.17510,0.92829
0.47150,4.12875,-1.21911,0.93915
0.48175,3.97938,-1.26287,0.94972
0.49200,3.83000,-1.30630,0.95999
0.50225,3.68063,-1.34933,0.96997
0.51250,3.53125,-1.39191,0.97966
0.52275,3.38188,-1.43397,0.98908
0.53300,3.23250,-1.47543,0.99822
0.54325,3.08313,-1.51623,1.00711
0.55350,2.93375,-1.55632,1.01574
0.56375,2.78438,-1.59561,1.02413
0.57400,2.63500,-1.63404,1.03229
0.58425,2.48563,-1.67156,1.04022
0.59450,2.33625,-1.70808,1.04794
0.60475,2.18688,-1.74355,1.05545
0.61500,2.03750,-1.77790,1.06278
0.62525,1.88813,-1.81106,1.06992
0.63550,1.73875,-1.84297,1.07690
0.64575,1.58938,-1.87356,1.08372
0.65600,1.44000,-1.90276,1.09039
0.66625,1.29063,-1.93051,1.09694
0.67650,1.14125,-1.95674,1.10337
0.68675,0.99188,-1.98139,1.10969
0.69700,0.84250,-2.00438,1.11592
0.70725,0.69313,-2.02566,1.12207
0.71750,0.54375,-2.04516,1.12816
0.72775,0.39438,-2.06280,1.13420
0.73800,0.24500,-2.07853,1.14020
0.74825,0.09563,-2.09227,1.14618
0.75850,-0.05375,-2.10000,1.14661
0.76875,-0.20313,-2.10000,1.13717
0.77900,-0.35250,-2.10000,1.12774
0.78925,-0.50188,-2.10000,1.11830
0.79950,-0.65125,-2.10000,1.10887
0.80975,-0.80063,-2.10000,1.09943
0.82000,-0.95000,-2.10000,1.09000
