time,x,y,z
0.00000,11.00000,0.00000,0.14500
0.00850,10.85063,0.00263,0.16359
0.01700,10.70125,0.00644,0.18217
0.02550,10.55188,0.01138,0.20074
0.03400,10.40250,0.01743,0.21929
0.04250,10.25313,0.02455,0.23780
0.05100,10.10375,0.03270,0.25628
0.05950,9.95438,0.04186,0.27471
0.06800,9.80500,0.05198,0.29308
0.07650,9.65563,0.06303,0.31140
0.08500,9.50625,0.07499,0.32964
0.09350,9.35688,0.08780,0.34781
0.10200,9.20750,0.10145,0.36590
0.11050,9.05813,0.11590,0.38390
0.11900,8.90875,0.13111,0.40181
0.12750,8.75938,0.14704,0.41961
0.13600,8.61000,0.16368,0.43730
0.14450,8.46063,0.18097,0.45488
0.15300,8.31125,0.19889,0.47234
0.16150,8.16188,0.21740,0.48967
0.17000,8.01250,0.23646,0.50687
0.17850,7.86313,0.25606,0.52393
0.18700,7.71375,0.27614,0.54085
0.19550,7.56438,0.29668,0.55762
0.20400,7.41500,0.31763,0.57425
0.21250,7.26563,0.33898,0.59071
0.22100,7.11625,0.36068,0.60702
0.22950,6.96688,0.38270,0.62317
0.23800,6.81750,0.40500,0.63914
0.24650,6.66813,0.42756,0.65495
0.25500,6.51875,0.45033,0.67059
0.26350,6.36938,0.47329,0.68605
0.27200,6.22000,0.49639,0.70134
0.28050,6.07063,0.51961,0.71645
0.28900,5.92125,0.54291,0.73138
0.29750,5.77188,0.56625,0.74612
0.30600,5.62250,0.58961,0.76069
0.31450,5.47313,0.61295,0.77507
0.32300,5.32375,0.63623,0.78928
0.33150,5.17438,0.65941,0.80330
0.34000,5.02500,0.68248,0.81714
0.34850,4.87563,0.70539,0.83080
0.35700,4.72625,0.72810,0.84428
0.36550,4.57688,0.75059,0.85758
0.37400,4.42750,0.77282,0.87071
0.38250,4.27813,0.79475,0.88366
0.39100,4.12875,0.81636,0.89644
0.39950,3.97938,0.83760,0.90906
0.40800,3.83000,0.85844,0.92151
0.41650,3.68063,0.87886,0.93380
0.42500,3.53125,0.89880,0.94593
0.43350,3.38188,0.91825,0.95790
0.44200,3.23250,0.93717,0.96973
0.45050,3.08313,0.95552,0.98141
0.45900,2.93375,0.97326,0.99295
0.46750,2.78438,0.99037,1.00435
0.47600,2.63500,1.00682,1.01563
0.48450,2.48563,1.02255,1.02678
0.49300,2.33625,1.03755,1.03781
0.50150,2.18688,1.05178,1.04873
0.51000,2.03750,1.06520,1.05955
0.51850,1.88813,1.07778,1.07026
0.52700,1.73875,1.08948,1.08088
0.53550,1.58938,1.10028,1.09141
0.54400,1.44000,1.11014,1.10187
0.55250,1.29063,1.11901,1.11225
0.56100,1.14125,1.12688,1.12256
0.56950,0.99188,1.13370,1.13282
0.57800,0.84250,1.13944,1.14303
0.58650,0.69313,1.14407,1.15319
0.59500,0.54375,1.14756,1.16332
0.60350,0.39438,1.14986,1.17342
0.61200,0.24500,1.15094,1.18349
0.62050,0.09563,1.15078,1.19356
0.62900,-0.05375,1.15000,1.19717
0.63750,-0.20313,1.15000,1.18931
0.64600,-0.35250,1.15000,1.18145
0.65450,-0.50188,1.15000,1.17359
0.66300,-0.65125,1.15000,1.16572
0.67150,-0.80063,1.15000,1.15786
0.68000,-0.95000,1.15000,1.15000
