time,x,y,z
0.00000,11.00000,0.00000,0.14500
0.01075,10.85063,-0.00250,0.18012
0.02150,10.70125,-0.00723,0.21521
0.03225,10.55188,-0.01414,0.25028
0.04300,10.40250,-0.02317,0.28529
0.05375,10.25313,-0.03424,0.32024
0.06450,10.10375,-0.04729,0.35510
0.07525,9.95438,-0.06226,0.38986
0.08600,9.80500,-0.07910,0.42450
0.09675,9.65563,-0.09772,0.45901
0.10750,9.50625,-0.11808,0.49337
0.11825,9.35688,-0.14010,0.52756
0.12900,9.20750,-0.16373,0.56157
0.13975,9.05813,-0.18890,0.59538
0.15050,8.90875,-0.21555,0.62899
0.16125,8.75938,-0.24361,0.66237
0.17200,8.61000,-0.27302,0.69551
0.18275,8.46063,-0.30371,0.72839
0.19350,8.31125,-0.33563,0.76102
0.20425,8.16188,-0.36872,0.79336
0.21500,8.01250,-0.40289,0.82541
0.22575,7.86313,-0.43810,0.85717
0.23650,7.71375,-0.47428,0.88861
0.24725,7.56438,-0.51137,0.91972
0.25800,7.41500,-0.54930,0.95051
0.26875,7.26563,-0.58801,0.98095
0.27950,7.11625,-0.62743,1.01104
0.29025,6.96688,-0.66751,1.04077
0.30100,6.81750,-0.70818,1.07014
0.31175,6.66813,-0.74938,1.09913
0.32250,6.51875,-0.79103,1.12775
0.33325,6.36938,-0.83309,1.15598
0.34400,6.22000,-0.87548,1.18383
0.35475,6.07063,-0.91814,1.21128
0.36550,5.92125,-0.96102,1.23834
0.37625,5.77188,-1.00404,1.26500
0.38700,5.62250,-1.04714,1.29126
0.39775,5.47313,-1.09026,1.31712
0.40850,5.32375,-1.13333,1.34258
0.41925,5.17438,-1.17630,1.36765
0.43000,5.02500,-1.21909,1.39231
0.44075,4.87563,-1.26166,1.41657
0.45150,4.72625,-1.30392,1.44045
0.46225,4.57688,-1.34582,1.46393
0.47300,4.42750,-1.38730,1.48702
0.48375,4.27813,-1.42828,1.50974
0.49450,4.12875,-1.46872,1.53207
0.50525,3.97938,-1.50854,1.55404
0.51600,3.83000,-1.54768,1.57564
0.52675,3.68063,-1.58608,1.59689
0.53750,3.53125,-1.62368,1.61779
0.54825,3.38188,-1.66040,1.63835
0.55900,3.23250,-1.69619,1.65859
0.56975,3.08313,-1.73099,1.67850
0.58050,2.93375,-1.76473,1.69810
0.59125,2.78438,-1.79735,1.71741
0.60200,2.63500,-1.82878,1.73643
0.61275,2.48563,-1.85896,1.75518
0.62350,2.33625,-1.88783,1.77367
0.63425,2.18688,-1.91532,1.79191
0.64500,2.03750,-1.94137,1.80991
0.65575,1.88813,-1.96592,1.82770
0.66650,1.73875,-1.98890,1.84527
0.67725,1.58938,-2.01026,1.86266
0.68800,1.44000,-2.02992,1.87988
0.69875,1.29063,-2.04782,1.89693
0.70950,1.14125,-2.06391,1.91384
0.72025,0.99188,-2.07811,1.93062
0.73100,0.84250,-2.09036,1.94729
0.74175,0.69313,-2.10061,1.96386
0.75250,0.54375,-2.10878,1.98035
0.76325,0.39438,-2.11481,1.99679
0.77400,0.24500,-2.11864,2.01317
0.78475,0.09563,-2.12021,2.02953
0.79550,-0.05375,-2.12000,2.03547
0.80625,-0.20313,-2.12000,2.02289
0.81700,-0.35250,-2.12000,2.01032
0.82775,-0.50188,-2.12000,1.99774
0.83850,-0.65125,-2.12000,1.98516
0.84925,-0.80063,-2.12000,1.97258
0.86000,-0.95000,-2.12000,1.96000
